quantification_cDNA;coverage_depth;reads;coverage_genome
60.2;1336.22;105688;98.679
45.4;442.82;35478;97.686
58;70.1;5910;76.751
72.2;366.65;29651;98.679
4.44;733.19;57842;98.676
49.2;303.48;24670;96.826
19.7;158.73;13214;96.154
35.8;288.83;23276;98.662
68.8;1315.67;103484;98.679
26.8;285.69;23082;96.061
22.8;592.32;47574;96.964
42.2;2622.9;206472;99.595
46.2;2094.69;165094;99.595
28.4;2071.93;161903;98.662
40.4;403.6;32200;98.866
66.6;802.19;63944;97.82
49.8;2148.37;170538;96.964
63.8;2056.56;161420;98.679
39.8;2078.87;164998;96.094
63.4;692.88;54612;98.679
44.4;173.05;13862;94.098
58.8;625.04;49632;98.679
31.2;1008.94;79542;99.595
2.36;508.24;40074;96.826
67.2;285.52;22967;93.516
3.84;692.26;54468;98.662
3.74;799.84;63638;98.679
11.6;111.34;8998;76.845
18.7;344.06;27284;97.743
8.32;626.88;49560;99.595
27.2;334.24;26834;96.248
2.52;1134.31;88488;99.595
6.44;1155.22;90262;98.669
6.26;617.71;48586;98.679
3.54;1358.85;105910;98.679
7.2;496.32;39194;98.669
1.74;1124.14;87920;99.595
14.7;548.02;43054;98.679
7.3;324.45;25616;94.957
13.3;652.79;50788;98.679
19.8;469.03;37168;98.679
28.6;422.87;33372;98.669
26.6;835.19;65502;98.679
6.66;408.26;32252;98.679
10.5;1267.69;98930;98.679
9.72;1654.08;126676;95.265
2.16;1038.53;81456;97.82
8.3;326.58;25958;98.679
7.12;367.91;29046;92.342
12;943.23;74192;98.679
6.28;513.25;40332;98.679
5.6;1346.31;105100;98.679
26.6;1070.87;83630;96.977
2.02;945.06;73956;99.595
16.5;1278.33;99622;98.679
8.46;508.63;40044;96.833
30.8;1016.28;79254;99.595
9.24;394.1;31170;97.686
3.96;833.53;65338;98.679
43.2;429.88;33854;95.067
5.52;1143.5;88990;97.82
3.84;1238.06;95976;98.662
2.5;431.73;34292;97.111
1.79;443.61;34646;95.974
2.6;822.65;64532;98.662
1.76;885.02;69332;98.679
4.52;519.15;41300;97.241
3.36;443.87;34946;98.679
7.22;1397.28;108050;98.679
2.46;1192.24;92514;99.595
2.38;1124.92;87744;98.679
6.28;692.88;54612;98.669
2.02;1860.62;144434;98.679
5.06;938.68;73872;97.82
7.62;995.24;77772;97.793
1.83;868.43;68224;98.679
1.46;694.34;54972;98.679
1.43;564.52;44692;99.595
1.6;615.2;48526;98.679
2.58;697.33;54868;98.679
6.5;102.4;9331;90.185
7.52;258;22622;95.97
14.9;201;17616;97.749
10.1;76;6678;81.918
4.7;65;6044;84.67
13.7;405;34210;99.595
11.5;197;16921;97.826
2.02;40.4;3344;76.203
8.8;268;24996;96.104
14.6;199;17323;96.719
6.84;171;15492;98.014
14.4;404.4;34784;98.679
10.2;135;12172;95.79
6.28;77.4;7587;80.447
5.06;57.3;4798;76.417
5.28;68.8;6156;83.089
16;263;22861;97.82
6.96;137;11737;90.259
4.08;101;8533;92.466
4.52;40;3406;72.561
22.6;213;18560;98.361
12.5;435;37379;97.82
3.08;40;3299;76.972
12.3;539;44356;97.97
19.8;296;24993;96.826
3.52;56;4631;84.259
10.5;99.5;9039;90.121
15;87.8;9334;84.694
23.2;592.4;48440;98.679
