quantification_cDNA;CT;coverage_depth;reads;coverage_genome
24.5;9;812.2;63890;99.595
27;18;1600.9;126454;98.679
20.3;13;723.7;57583;98.679
16.8;14;499;38728;80.326
11.6;16;752;58121;95.325
16.8;20;246;19699;93.298
14.4;17;78;6414;75.374
20.8;14;226;18014;85.931
23.2;14;282;22685;95.225
29.2;14;353;27210;96.004
16.2;17;388;30567;94.318
29.2;13;384;30233;93.954
22;16;274;21726;93.298
18;6;870;67143;97.933
35.4;4;827;64078;98.662
6.2;23;108;9021;70.919
24.6;12;511;40003;93.011
21.6;13;159;12860;92.018
35.2;10;921;71609;98.743
27.2;15;417;32847;95.987
19.3;16;237;18887;93.048
26.2;12;260;20690;93.954
23.6;15;612;47736;96.793
21.4;11;314;33588;95.281
23.2;18;664;70093;97.813
25;16;337;30237;96.793
21.8;18;121;11249;91.365
29.9;13;915;92585;96.004
37.2;8;330;32355;98.662
33.6;11;136;13364;94.619
12.7;23;90;8243;84.617
27.2;18;495;45771;96.793
32.8;17;463;45212;95.281
40.8;5;302;26812;98.662
22.8;17;137;13479;88.851
28;18;114;10623;93.372
36.2;10;130;13091;92.044
22.4;13;313;31371;92.359
33.4;18;1010;112368;96.121
32;14;400;41836;93.954
28.2;18;368;38307;93.302
33.6;16;212;20704;92.359
36;8;391;36486;98.679
39.8;10;595;68464;98.662
44.2;5;1132;122984;99.595
32.8;16;328;33361;95.265
22.2;14;170;17581;89.436
29.2;12;214;23596;93.954
23.6;16;280;31999;94.318
25.8;14;216;21830;89.663
28.8;13;179;17437;85.797
39;15;256;27915;93.302
27.8;18;354;35639;96.141
25.4;16;300;31247;93.011
34.4;16;730;76304;98.743
24.4;19;470;50106;93.302
34.6;14;1517;169821;98.743
20.4;20;506;54792;94.378
31.4;11;714;77106;95.987
44.8;10;810;77781;99.595
27.8;14;725;78736;95.903
16.9;15;644;77699;98.014
40;12;319;29833;93.977
15.3;16;132;36343;56.162
30.6;14;378;37445;94.549
30;17;459;45972;93.954
46.2;15;1159;118837;98.743
